"beer_id","date","rating","text","user_location","user_name"
4470,"2017-06-17",3.6,"Bottle @ Johns. Pours dark amber with a small offwhite head. Aroma of sweet malt, rich caramel, candy sugar, wood, alcohol. Flavor is very sweet, rich malty, caramel, candy sugar, wood, alcohol. Medium to full body, soft carbonation, sweet finish with warming alcohol. 7-3-7-4-15. 170617","Hasselager, DENMARK","Camons"
4470,"2017-06-17",3.7,"Bottle @ Saxo tasting. 12.4 % ABV. Light hazy amber brown with an off-white head. Aroma is sweet, malty, caramel, dried fruit and a little alcohol. Flavor is very sweet and rather bitter. Sweet and rather bitter finish with warming alcohol. Soft. 170617","Beder, Aarhus, DENMARK","Rasmus40"
4470,"2017-06-17",3.6,"Bottle, 12.4%. Dark amber with small tan head. Aroma is malt, malt, caramel, toasted, oak and wood. Flavour is malt, caramel, toasted, oak, wood, sweet, warming, notes of alcohol, dark fruit and a little boozy.","DENMARK","chrisv10"
4470,"2017-06-17",3.6,"Bottle. Frothy white fair mostly deminishing head. Amber colour. Moderate malty and light hoppy aroma. Moderate bitter nice powerfull candis notes. Average moderate bitter finish. Creamy palate.","Randers, DENMARK","HenrikSoegaard"
4470,"2017-06-17",3.8,"Bottle @ Højbjerg tasting. Nice head with good duration. Color is amber. Aroma and taste are caramel, fruits, malt, hops, toffee and has a nice sweet finish.","Højbjerg, Aarhus, DENMARK","saxo"
4470,"2017-06-06",4.2,"Bottle at Naiv, Frankfurt. Pours dark red brown with a small bubbly tan coloured head. Aroma of toffee, raisin, plum, fig, chocolate, cardboard and alcohol. Medium to heavy sweetness, light bitterness. Full bodied, oily texture, soft to flat carbonation. Easy drinking, and delicious.","Ipswich, Suffolk, ENGLAND","Grumbo"
4470,"2017-05-22",3.3,"Bottle. Roast, rum soaked raisins, fresh berries, light oak, a bit oxidized. Hazy orange brown, creamy golden head. Full body, mellow sticky. Oxidized wooden spoon, fermented prison juice. Hops, orange peel, dry plums, muddled sticky finish.","Garching b. München, GERMANY","jonas"
4470,"2017-05-22",3.8,"Bottle. Brown color with some floatees and tan head. Aroma is raisins, toffee, fudge. Taste is toffee, caramel, fudge. Silky mouthfeel, warming finish. Very nice!","Garching b. München, GERMANY","SinH4"
4470,"2017-04-25",4.1,"Dunkles Bernstein, leicht rötlich mit beigem Schaum. Geruch ist malzig süß und würzig. Erinnert etwas an Dörrobst. Geschmacklich dominiert auch der süße Malzkörper, aber auch die recht deutliche bittere tritt ins Rampenlicht. Beides harmoniert wunderbar. Der Alkohol ist recht präsent aber nicht störend. Gut.","North Rhine-Westphalia, GERMANY","McSherman"
4470,"2017-03-06",4.2,"330 ml bottle. Pours a nearly clear dark copper with a beige head. The aroma is malty - caramel, brioche, honey and dried fruits with noticeable hoppy notes. Full oily body with a low carbonation and a strong sweetness. Rich malty flavor with similar aromas to the smell, again caramel, honey and dried fruits, some spices, some woody notes, nuts. Overall very well balanced and the alcohol is not to intrusive for the high ABV.","AUSTRIA","PowY"
4470,"2017-03-06",4.1,"330 ml bottle, dark amber, hazy with particles, beige rather creamy head.

malty, toffee, raisins, dried fruits, fermented grapes, sweet-ish, well hidden alcohol.
very balanced aromas and balanced taste, full body, creamy to sticky texture. soft carbonisation. rather easy to drink.","AUSTRIA","Oxytocin"
4470,"2017-02-19",3.8,"Many thanks to Beerhunter111 for sharing! Smooth grainy beginning. Hints of alcohol, caramel, smooth sweetish malt. Intense refreshing smooth aftertaste, round and deep, roasted, burned brown sugar. Very nice, complex, but a bit too alcoholic.","Wuppertal, GERMANY","Erzengel"
4470,"2017-02-11",3.8,"Drank with Rik in ""Kanguruh"" in Vienna 10-2-2017. Good Barley Wine, comprehensive taste. Bitter with a sweet aftertaste.","Nijmegen, NETHERLANDS","Maarten1993"
